任务类别,原始类别,论文题目,作者,日期,发表/场所,模型架构(推断),方法要点(推断),链接,效果摘要
分割,Segmentation,Can segmentation models be trained with fully synthetically generated data?,"Virginia Fernandez, Walter Hugo Lopez Pinaya, Pedro Borges, Petru-Daniel Tudosiu, Mark S Graham, Tom Vercauteren, M Jorge Cardoso","17th Sep., 2022","MICCAI Workshop, 2022",通用/未明确,分割,Paper:https://arxiv.org/abs/2209.08256,（README未提供，详见论文）
分割,Segmentation,Diffusion Models for Implicit Image Segmentation Ensembles,"Julia Wolleb, Robin Sandkühler, Florentin Bieder, Philippe Valmaggia, Philippe C. Cattin","6th Dec., 2021","MIDL, 2022",扩散ODE,分割,Paper:https://arxiv.org/abs/2112.03145 | Github:https://github.com/juliawolleb/diffusion-based-segmentation,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,"Benchmarking GANs, Diffusion Models, and Flow Matching for T1w-to-T2w MRI Translation","Andrea Moschetto, Lemuel Puglisi, Alec Sargood, Pierluigi Dell'Acqua, Francesco Guarnera, Sebastiano Battiato, Daniele Ravì","19th Jul., 2025","arXiv, 2025","扩散ODE, 流模型/Flow, GAN",图像到图像翻译,Paper:http://arxiv.org/abs/2507.14575v1 | Github:https://github.com/AndreaMoschetto/medical-I2I-benchmark,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Human-Guided Shade Artifact Suppression in CBCT-to-MDCT Translation via Schrödinger Bridge with Conditional Diffusion,"Sung Ho Kang, Hyun-Cheol Park","15th Jul., 2025","arXiv, 2025","条件扩散, Schrödinger Bridge",图像到图像翻译,Paper:http://arxiv.org/abs/2507.11025v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Regression is all you need for medical image translation,"Sebastian Rassmann, David Kügler, Christian Ewert, Martin Reuter","04th May, 2025","arXiv, 2025",通用/未明确,图像到图像翻译,Paper:http://arxiv.org/abs/2505.02048v2,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Diffusion Bridge Models for 3D Medical Image Translation,"Shaorong Zhang, Tamoghna Chattopadhyay, Sophia I. Thomopoulos, Jose-Luis Ambite, Paul M. Thompson, Greg Ver Steeg","21st Apr., 2025","arXiv, 2025",扩散ODE,图像到图像翻译,Paper:http://arxiv.org/abs/2504.15267v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Structure-Accurate Medical Image Translation via Dynamic Frequency Balance and Knowledge Guidance,"Jiahua Xu, Dawei Zhou, Lei Hu, Zaiyi Liu, Nannan Wang, Xinbo Gao","13th Apr., 2025","arXiv, 2025",通用/未明确,图像到图像翻译,Paper:http://arxiv.org/abs/2504.09441v2,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,seg2med: a bridge from artificial anatomy to multimodal medical images,"Zeyu Yang, Zhilin Chen, Yipeng Sun, Anika Strittmatter, Anish Raj, Ahmad Allababidi, Johann S. Rink, Frank G. Zöllner","12th Apr., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2504.09182v2,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Translation of Fetal Brain Ultrasound Images into Pseudo-MRI Images using Artificial Intelligence,"Naomi Silverstein, Efrat Leibowitz, Ron Beloosesky, Haim Azhari","03rd Apr., 2025","arXiv, 2025",通用/未明确,图像到图像翻译,Paper:http://arxiv.org/abs/2504.02408v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Deterministic Medical Image Translation via High-fidelity Brownian Bridges,"Qisheng He, Nicholas Summerfield, Peiyong Wang, Carri Glide-Hurst, Ming Dong","28th Mar., 2025","CVPR, 2025",通用/未明确,图像到图像翻译,Paper:http://arxiv.org/abs/2503.22531v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,VasTSD: Learning 3D Vascular Tree-state Space Diffusion Model for Angiography Synthesis,"Zhifeng Wang, Renjiao Yi, Xin Wen, Chenyang Zhu, Kai Xu","17th Mar., 2025","CVPR, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2503.12758v1 | GitHub:https://jefferyzhifeng.github.io/projects/VasTSD/,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Geodesic Diffusion Models for Medical Image-to-Image Generation,"Teng Zhang, Hongxu Jiang, Kuang Gong, Wei Shao","2nd Mar., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2503.00745v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,3D Shape-to-Image Brownian Bridge Diffusion for Brain MRI Synthesis from Cortical Surfaces,"Fabian Bongratz, Yitong Li, Sama Elbaroudy, Christian Wachinger","18th Feb., 2025","arXiv, 2025",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2502.12742v1 | GitHub:https://github.com/ai-med/Cor2Vox,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Trustworthy image-to-image translation: evaluating uncertainty calibration in unpaired training scenarios,"Ciaran Bench, Emir Ahmed, Spencer A. Thomas","29th Jan., 2025","IPMI, 2025",通用/未明确,图像到图像翻译,Paper:http://arxiv.org/abs/2501.17570v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Introducing 3D Representation for Medical Image Volume-to-Volume Translation via Score Fusion,"Xiyue Zhu, Dou Hoon Kwark, Ruike Zhu, Kaiwen Hong, Yiqi Tao, Shirui Luo, Yudu Li, Zhi-Pei Liang, Volodymyr Kindratenko","13th Jan., 2025","ICML, 2025",Score-based,图像到图像翻译,Paper:http://arxiv.org/abs/2501.07430v2 | Project Page:https://score-fusion.github.io/,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Multi-Subject Image Synthesis as a Generative Prior for Single-Subject PET Image Reconstruction,"George Webber, Yuya Mizuno, Oliver D. Howes, Alexander Hammers, Andrew P. King, Andrew J. Reader","05th Dec., 2024","IEEE Symposium on Nuclear Science (NSS/MIC), 2024",通用/未明确,重建/复原驱动,Paper:http://arxiv.org/abs/2412.04324v1,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Cross-conditioned Diffusion Model for Medical Image to Image Translation,"Zhaohu Xing, Sicheng Yang, Sixiang Chen, Tian Ye, Yijun Yang, Jing Qin, Lei Zhu","12th Sep., 2024","MICCAI, 2024","条件扩散, 扩散ODE",图像到图像翻译,Paper:https://arxiv.org/abs/2409.08500,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Bi-modality medical images synthesis by a bi-directional discrete process matching method,"Zhe Xiong, Qiaoqiao Ding, Xiaoqun Zhang","06th Sep., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2409.03977v3,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Slice-Consistent 3D Volumetric Brain CT-to-MRI Translation with 2D Brownian Bridge Diffusion Model,"Kyobin Choo, Youngjun Jun, Mijin Yun, Seong Jae Hwang","6th Jul., 2024","MICCAI, 2024",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2407.05059 | GitHub:https://github.com/MICV-yonsei/CT2MRI,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Soft Masked Mamba Diffusion Model for CT to MRI Conversion,"Zhenbin Wang, Lei Zhang, Lituan Wang, Zhenwei Zhang","22nd Jun., 2024","arXiv, 2024","扩散ODE, 掩码/Masked机制",未归纳,Paper:https://arxiv.org/abs/2406.15910 | GitHub:https://github.com/wongzbb/DiffMa-Diffusion-Mamba,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,2.5D Multi-view Averaging Diffusion Model for 3D Medical Image Translation: Application to Low-count PET Reconstruction with CT-less Attenuation Correction,"Tianqi Chen, Jun Hou, Yinchi Zhou, Huidong Xie, Xiongchao Chen, Qiong Liu, Xueqi Guo, Menghua Xia, James S. Duncan, Chi Liu, Bo Zhou","12th Jun., 2024","arXiv, 2024",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2406.08374,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Similarity-aware Syncretic Latent Diffusion Model for Medical Image Translation with Representation Learning,"Tingyi Lin, Pengju Lyu, Jie Zhang, Yuqing Wang, Cheng Wang, Jianjun Zhu","19th Jun., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",图像到图像翻译,Paper:https://arxiv.org/abs/2406.13977,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Fast-DDPM: Fast Denoising Diffusion Probabilistic Models for Medical Image-to-Image Generation,"Hongxu Jiang, Muhammad Imran, Linhai Ma, Teng Zhang, Yuyin Zhou, Muxuan Liang, Kuang Gong, Wei Shao","23rd May, 2024","arXiv, 2024","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2405.14802 | GitHub:https://github.com/mirthAI/Fast-DDPM,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Cascaded Multi-path Shortcut Diffusion Model for Medical Image Translation,"Yinchi Zhou, Tianqi Chen, Jun Hou, Huidong Xie, Nicha C. Dvornek, S. Kevin Zhou, David L. Wilson, James S. Duncan, Chi Liu, Bo Zhou","5th Apr., 2024","MedIA, 2024",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2405.12223,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Diffusion based Zero-shot Medical Image-to-Image Translation for Cross Modality Segmentation,"Zihao Wang, Yingyu Yang, Yuzhou Chen, Tingting Yuan, Maxime Sermesant, Herve Delingette, Ona Wu","1st Apr., 2024","arXiv, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2404.01102,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Self-Consistent Recursive Diffusion Bridge for Medical Image Translation,"Fuat Arslan, Bilal Kabas, Onat Dalmaz, Muzaffer Ozbey, Tolga Çukur","10th May, 2024","arXiv, 2024",通用/未明确,图像到图像翻译,Paper:https://arxiv.org/abs/2405.06789 | GitHub:https://github.com/icon-lab/SelfRDB,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Tackling Structural Hallucination in Image Translation with Local Diffusion,"Seunghoi Kim, Chen Jin, Tom Diethe, Matteo Figini, Henry F. J. Tregidgo, Asher Mullokandov, Philip Teare, Daniel C. Alexander","9th Apr., 2024","arXiv, 2024",通用/未明确,图像到图像翻译,Paper:https://arxiv.org/abs/2404.05980,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Mitigating analytical variability in fMRI results with style transfer,"Elodie Germani, Elisa Fromont, Camille Maumet","4th Apr., 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2404.03703,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,ContourDiff: Unpaired Image Translation with Contour-Guided Diffusion Models,"Yuwen Chen, Nicholas Konz, Hanxue Gu, Haoyu Dong, Yaqian Chen, Lin Li, Jisoo Lee, Maciej A. Mazurowski","16th Mar., 2024","arXiv, 2024",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2403.10786,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,FDDM: Unsupervised Medical Image Translation with a Frequency-Decoupled Diffusion Model,"Yunxiang Li, Hua-Chieh Shao, Xiaoxue Qian, You Zhang","19th Nov., 2023","arXiv, 2023",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2311.12070,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Adaptive Latent Diffusion Model for 3D Medical Image to Image Translation: Multi-modal Magnetic Resonance Imaging Study,"Jonghun Kim, Hyunjin Park","1st Nov., 2023","WACV, 2024","潜空间/Latent Diffusion, 扩散ODE",图像到图像翻译,Paper:https://arxiv.org/abs/2311.00265 | Github:https://github.com/jongdory/ALDM/,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Cycle-guided Denoising Diffusion Probability Model for 3D Cross-modality MRI Synthesis,"Shaoyan Pan, Chih-Wei Chang, Junbo Peng, Jiahan Zhang, Richard L.J. Qiu, Tonghe Wang, Justin Roper, Tian Liu, Hui Mao, Xiaofeng Yang","28th Apr., 2023","arXiv, 2023","DDPM类, 扩散ODE",去噪,Paper:https://arxiv.org/abs/2305.00042,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Zero-shot Medical Image Translation via Frequency-Guided Diffusion Models,"Yunxiang Li, Hua-Chieh Shao, Xiao Liang, Liyuan Chen, Ruiqi Li, Steve Jiang, Jing Wang, You Zhang","5th Apr., 2023","arXiv, 2023",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2304.02742 | Github:https://github.com/Kent0n-Li/FGDM,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Class-Guided Image-to-Image Diffusion: Cell Painting from Brightfield Images with Class Labels,"Jan Oscar Cross-Zamirski, Praveen Anand, Guy Williams, Elizabeth Mouchet, Yinhai Wang, Carola-Bibiane Schönlieb","15th Mar., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2303.08863 | Github:https://github.com/crosszamirski/guided-I2I,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Diffusion Models for Contrast Harmonization of Magnetic Resonance Images,"Alicia Durrer, Julia Wolleb, Florentin Bieder, Tim Sinnecker, Matthias Weigel, Robin Sandkühler, Cristina Granziera, Özgür Yaldizli, Philippe C. Cattin","14th Mar., 2023","MIDL, 2023",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2303.08189,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Zero-shot-Learning Cross-Modality Data Translation Through Mutual Information Guided Stochastic Diffusion,"Zihao Wang, Yingyu Yang, Maxime Sermesant, Hervé Delingette, Ona Wu","31st Jan., 2023","arXiv, 2023",通用/未明确,图像到图像翻译,Paper:https://arxiv.org/abs/2301.13743,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Brain PET Synthesis from MRI Using Joint Probability Distribution of Diffusion Model at Ultrahigh Fields,"Xie Taofeng, Cao Chentao, Cui Zhuoxu, Li Fanshi, Wei Zidong, Zhu Yanjie, Li Ye, Liang Dong, Jin Qiyu, Chen Guoqing, Wang Haifeng","16th Nov., 2022","arXiv, 2022",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2211.08901,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Conversion Between CT and MRI Images Using Diffusion and Score-Matching Models,"Qing Lyu, Ge Wang","24th Sep., 2022","arXiv, 2022","Score-based, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2209.12104,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,Unsupervised Medical Image Translation with Adversarial Diffusion Models,"Muzaffer Özbey, Salman UH Dar, Hasan A Bedel, Onat Dalmaz, Şaban Özturk, Alper Güngör, Tolga Çukur","17th Jul., 2022","IEEE TMI Journal, 2022",扩散ODE,图像到图像翻译,Paper:https://arxiv.org/abs/2207.08208,（README未提供，详见论文）
图像到图像翻译,Image-to-Image Translation,A Novel Unified Conditional Score-based Generative Framework for Multi-modal Medical Image Completion,"Xiangxi Meng, Yuning Gu, Yongsheng Pan, Nizhuan Wang, Peng Xue, Mengkang Lu, Xuming He, Yiqiang Zhan, Dinggang Shen","7th Jul., 2022","arXiv, 2022","Score-based, 条件扩散",未归纳,Paper:https://arxiv.org/abs/2207.03430,（README未提供，详见论文）
重建,Reconstruction,PET Image Reconstruction Using Deep Diffusion Image Prior,"Fumio Hashimoto, Kuang Gong","20th Jul., 2025","arXiv, 2025",通用/未明确,重建/复原驱动,Paper:http://arxiv.org/abs/2507.15078v1,（README未提供，详见论文）
重建,Reconstruction,Physics-informed guided diffusion for accelerated multi-parametric MRI reconstruction,"Perla Mayo, Carolin M. Pirkl, Alin Achim, Bjoern Menze, Mohammad Golbabaee","29th Jun., 2025","arXiv, 2025",通用/未明确,重建/复原驱动,Paper:http://arxiv.org/abs/2506.23311v1,（README未提供，详见论文）
重建,Reconstruction,Adaptive Mask-guided K-space Diffusion for Accelerated MRI Reconstruction,"Qinrong Cai, Yu Guan, Zhibo Chen, Dong Liang, Qiuyun Fan, Qiegen Liu","23th Jun., 2025","arXiv, 2025",掩码/Masked机制,重建/复原驱动,Paper:http://arxiv.org/abs/2506.18270v1 | Github:https://github.com/yqx7150/AMDM,（README未提供，详见论文）
重建,Reconstruction,Personalized MR-Informed Diffusion Models for 3D PET Image Reconstruction,"George Webber, Alexander Hammers, Andrew P. King, Andrew J. Reader","04th Jun., 2025","arXiv, 2025",扩散ODE,重建/复原驱动,Paper:http://arxiv.org/abs/2506.03804v1,（README未提供，详见论文）
重建,Reconstruction,Pseudoinverse Diffusion Models for Generative CT Image Reconstruction from Low Dose Data,"Matthew Tivnan, Dufan Wu, Quanzheng Li","20th Feb., 2025","arXiv, 2025",扩散ODE,重建/复原驱动,Paper:http://arxiv.org/abs/2502.15064v1,（README未提供，详见论文）
重建,Reconstruction,When are Diffusion Priors Helpful in Sparse Reconstruction? A Study with Sparse-view CT,"Matt Y. Cheung, Sophia Zorek, Tucker J. Netherton, Laurence E. Court, Sadeer Al-Kindi, Ashok Veeraraghavan, Guha Balakrishnan","04th Feb., 2025","ISBI, 2025",通用/未明确,重建/复原驱动,Paper:http://arxiv.org/abs/2502.02771v1,（README未提供，详见论文）
重建,Reconstruction,Solving Blind Inverse Problems: Adaptive Diffusion Models for Motion-corrected Sparse-view 4DCT,"Antoine De Paepe, Alexandre Bousse, Clémentine Phung-Ngoc, Dimitris Visvikis","21st Jan., 2025","arXiv, 2025",扩散ODE,未归纳,Paper:http://arxiv.org/abs/2501.12249v4,（README未提供，详见论文）
重建,Reconstruction,Bigger Isn't Always Better: Towards a General Prior for Medical Image Reconstruction,"Lukas Glaszner, Martin Zach","13th Jan., 2025","DAGM, 2024",通用/未明确,重建/复原驱动,Paper:http://arxiv.org/abs/2501.07376v1,（README未提供，详见论文）
重建,Reconstruction,A Conditional Diffusion Model for Electrical Impedance Tomography Image Reconstruction,"Shuaikai Shi, Ruiyuan Kang, Panos Liatsis","22th Dec., 2024","arXiv, 2024","条件扩散, 扩散ODE",重建/复原驱动,Paper:http://arxiv.org/abs/2412.16979v1,（README未提供，详见论文）
重建,Reconstruction,Likelihood-Scheduled Score-Based Generative Modeling for Fully 3D PET Image Reconstruction,"George Webber, Yuya Mizuno, Oliver D. Howes, Alexander Hammers, Andrew P. King, Andrew J. Reader","05th Dec., 2024","IEEE TMI, 2024",Score-based,重建/复原驱动,Paper:http://arxiv.org/abs/2412.04339v2,（README未提供，详见论文）
重建,Reconstruction,RN-SDEs: Limited-Angle CT Reconstruction with Residual Null-Space Diffusion Stochastic Differential Equations,"Jiaqi Guo, Santiago Lopez-Tapia, Wing Shun Li, Yunnan Wu, Marcelo Carignano, Vadim Backman, Vinayak P. Dravid, Aggelos K. Katsaggelos","20th Sep., 2024","arXiv, 2024",SDE,重建/复原驱动,Paper:https://arxiv.org/abs/2409.13930 | GitHub:https://github.com/GuoJiaqi-1020/RN-SDE,（README未提供，详见论文）
重建,Reconstruction,DX2CT: Diffusion Model for 3D CT Reconstruction from Bi or Mono-planar 2D X-ray(s),"Yun Su Jeong, Hye Bin Yoo, Il Yong Chun","13th Sep., 2024","arXiv, 2024",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2409.08850,（README未提供，详见论文）
重建,Reconstruction,DiffuX2CT: Diffusion Learning to Reconstruct CT Images from Biplanar X-Rays,"Xuhui Liu, Zhi Qiao, Runkun Liu, Hong Li, Juan Zhang, Xiantong Zhen, Zhen Qian, Baochang Zhang","18th Jul., 2024","ECCV, 2025",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.13545,（README未提供，详见论文）
重建,Reconstruction,Adaptive Compressed Sensing with Diffusion-Based Posterior Sampling,"Noam Elata, Tomer Michaeli, Michael Elad","11th Jul., 2024","ECCV, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2407.08256 | GitHub:https://github.com/noamelata/AdaSense,（README未提供，详见论文）
重建,Reconstruction,Highly Accelerated MRI via Implicit Neural Representation Guided Posterior Sampling of Diffusion Models,"Jiayue Chu, Chenhe Du, Xiyue Lin, Yuyao Zhang, Hongjiang Wei","2nd Jul., 2024","MedIA, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2407.02744,（README未提供，详见论文）
重建,Reconstruction,Diffusion Transformer Model With Compact Prior for Low-dose PET Reconstruction,"Bin Huang, Xubiao Liu, Lei Fang, Qiegen Liu, Bingxuan Li","30 Jun., 2024","arXiv, 2024",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2407.00944 | GitHub:https://github.com/yqx7150/DTM,（README未提供，详见论文）
重建,Reconstruction,DiffusionBlend: Learning 3D Image Prior through Position-aware Diffusion Score Blending for 3D Computed Tomography Reconstruction,"Bowen Song, Jason Hu, Zhaoxu Luo, Jeffrey A. Fessler, Liyue Shen","14th Jun., 2024","arXiv, 2024",Score-based,重建/复原驱动,Paper:https://arxiv.org/abs/2406.10211,（README未提供，详见论文）
重建,Reconstruction,Learning Image Priors through Patch-based Diffusion Models for Solving Inverse Problems,"Jason Hu, Bowen Song, Xiaojian Xu, Liyue Shen, Jeffrey A. Fessler","4th Jun., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2406.02462,（README未提供，详见论文）
重建,Reconstruction,DEFT: Efficient Finetuning of Conditional Diffusion Models by Learning the Generalised $h$-transform,"Alexander Denker, Francisco Vargas, Shreyas Padhy, Kieran Didi, Simon Mathis, Vincent Dutordoir, Riccardo Barbano, Emile Mathieu, Urszula Julia Komorowska, Pietro Lio","3rd Jun., 2024","arXiv, 2024","条件扩散, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2406.01781,（README未提供，详见论文）
重建,Reconstruction,Blaze3DM: Marry Triplane Representation with Diffusion for 3D Medical Inverse Problem Solving,"Jia He, Bonan Li, Ge Yang, Ziwen Liu","24th May, 2024","arXiv, 2024",通用/未明确,未归纳,Paper:https://arxiv.org/abs/2405.15241,（README未提供，详见论文）
重建,Reconstruction,Reducing the cost of posterior sampling in linear inverse problems via task-dependent score learning,"Fabian Schneider, Duc-Lam Duong, Matti Lassas, Maarten V. de Hoop, Tapio Helin","24th May, 2024","arXiv, 2024",Score-based,未归纳,Paper:https://arxiv.org/abs/2405.15643 | GitHub:https://github.com/FabianSBD/SBD-task-dependent,（README未提供，详见论文）
重建,Reconstruction,DP-MDM: Detail-Preserving MR Reconstruction via Multiple Diffusion Models,"Mengxiao Geng, Jiahao Zhu, Xiaolin Zhu, Qiqing Liu, Dong Liang, Qiegen Liu","9th May, 2024","arXiv, 2024",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2405.05763 | GitHub:https://github.com/yqx7150/DP-MDM,（README未提供，详见论文）
重建,Reconstruction,Data-driven approaches for electrical impedance tomography image segmentation from partial boundary data,"Alexander Denker, Zeljko Kereta, Imraj Singh, Tom Freudenberg, Tobias Kluth, Peter Maass, Simon Arridge","6th May, 2024","Applied Mathematics for Modern Challenges Journal, 2024",通用/未明确,分割,Paper:https://arxiv.org/abs/2407.01559,（README未提供，详见论文）
重建,Reconstruction,Bi-level Guided Diffusion Models for Zero-Shot Medical Imaging Inverse Problems,"Hossein Askari, Fred Roosta, Hongfu Sun","4th Apr., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2404.03706,（README未提供，详见论文）
重建,Reconstruction,Score-Based Diffusion Models for Photoacoustic Tomography Image Reconstruction,"Sreemanti Dey, Snigdha Saha, Berthy T. Feng, Manxiu Cui, Laure Delisle, Oscar Leong, Lihong V. Wang, Katherine L. Bouman","30th Mar., 2024","arXiv, 2024","Score-based, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/abs/2404.00471,（README未提供，详见论文）
重建,Reconstruction,U2MRPD: Unsupervised undersampled MRI reconstruction by prompting a large latent diffusion model,"Ziqi Gao, S. Kevin Zhou","16th Feb., 2024","arXiv, 2024","潜空间/Latent Diffusion, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/abs/2402.10609 | GitHub:https://github.com/Z7Gao/MRPD,（README未提供，详见论文）
重建,Reconstruction,Hyper-Diffusion: Estimating Epistemic and Aleatoric Uncertainty with a Single Model,"Matthew A. Chan, Maria J. Molina, Christopher A. Metzler","5th Feb., 2024","arXiv, 2024",扩散ODE,未归纳,Paper:https://arxiv.org/abs/2402.03478,（README未提供，详见论文）
重建,Reconstruction,"A Comparative Study of Variational Autoencoders, Normalizing Flows, and Score-based Diffusion Models for Electrical Impedance Tomography","Huihui Wang, Guixian Xu, Qingping Zhou","29th Nov., 2023","Journal of Inverse and Ill-posed Problems, 2024","Score-based, 扩散ODE, 流模型/Flow",未归纳,Paper:https://arxiv.org/abs/2310.15831 | Github:https://github.com/adahfbch/DGM-EIT,（README未提供，详见论文）
重建,Reconstruction,Ultrasound image reconstruction with denoising diffusion restoration models,"Yuxin Zhang, Clément Huneau, Jérôme Idier, Diana Mateus","8th Oct., 2023","DGM4MICCAI, 2023","DDPM类, 扩散ODE",重建/复原驱动,Paper:https://arxiv.org/pdf/2307.15990 | Github:https://github.com/Yuxin-Zhang-Jasmine/DRUS-v1,（README未提供，详见论文）
重建,Reconstruction,Sequential Diffusion-Guided Deep Image Prior For Medical Image Reconstruction,"Shijun Liang, Ismail Alkhouri, Qing Qu, Rongrong Wang, Saiprasad Ravishankar","06th Oct., 2024","ICASSP, 2025",通用/未明确,重建/复原驱动,Paper:http://arxiv.org/abs/2410.04482v2,（README未提供，详见论文）
重建,Reconstruction,Steerable Conditional Diffusion for Out-of-Distribution Adaptation in Medical Image Reconstruction,"Riccardo Barbano, Alexander Denker, Hyungjin Chung, Tae Hoon Roh, Simon Arridge, Peter Maass, Bangti Jin, Jong Chul Ye","28th Aug., 2023","IEEE TMI, 2023",条件扩散,重建/复原驱动,Paper:http://arxiv.org/abs/2308.14409v3,（README未提供，详见论文）
重建,Reconstruction,Learning Fourier-Constrained Diffusion Bridges for MRI Reconstruction,"Muhammad U. Mirza, Onat Dalmaz, Hasan A. Bedel, Gokberk Elmas, Yilmaz Korkmaz, Alper Gungor, Salman UH Dar, Tolga Çukur","4th Aug., 2023","arXiv, 2023",通用/未明确,重建/复原驱动,Paper:https://arxiv.org/abs/2308.01096 | Github:https://github.com/icon-lab/FDB,（README未提供，详见论文）
重建,Reconstruction,Fast and Stable Diffusion Inverse Solver with History Gradient Update,"Linchao He, Hongyu Yan, Mengting Luo, Hongjie Wu, Kunming Luo, Wang Wang, Wenchao Du, Hu Chen, Hongyu Yang, Yi Zhang, Jiancheng Lv","22th Jul., 2023","arXiv, 2023",通用/未明确,未归纳,Paper:http://arxiv.org/abs/2307.12070v2,（README未提供，详见论文）
重建,Reconstruction,Solving Inverse Problems with Latent Diffusion Models via Hard Data Consistency,"Bowen Song, Soo Min Kwon, Zecheng Zhang, Xinyu Hu, Qing Qu, Liyue Shen","16th Jul., 2023","arXiv, 2023","潜空间/Latent Diffusion, 扩散ODE",未归纳,Paper:https://arxiv.org/abs/2307.08123,（README未提供，详见论文）
重建,Reconstruction,DiffuseIR: Diffusion Models For Isotropic Reconstruction of 3D Microscopic Images,"Mingjie Pan, Yulu Gan, Fangxu Zhou, Jiaming Liu, Aimin Wang, Shanghang Zhang, Dawei Li","21st Jun., 2023","arXiv, 2023",扩散ODE,重建/复原驱动,Paper:https://arxiv.org/abs/2306.12109,（README未提供，详见论文）
